,Survived,Pclass,Sex,Age,Siblings,Parch,Fare,Gender,Alive
0,1,1,1,38,1,0,71,1,0
1,1,1,1,35,1,0,53,1,0
2,0,1,0,54,0,0,51,0,1
3,1,3,1,4,1,1,16,2,0
4,1,1,1,58,0,0,26,1,0
5,1,2,0,34,0,0,13,0,0
6,1,1,0,28,0,0,35,0,0
7,0,1,0,19,3,2,263,0,1
8,1,1,1,49,1,0,76,1,0
9,0,1,0,65,0,1,61,0,1
10,0,1,0,45,1,0,83,0,1
11,1,2,1,29,0,0,10,1,0
12,0,3,0,25,0,0,7,0,1
13,1,1,1,23,3,2,263,1,0
14,0,1,0,46,1,0,61,0,1
15,0,1,0,71,0,0,34,0,1
16,1,1,0,23,0,1,63,0,0
17,0,1,0,21,0,1,77,0,1
18,0,1,0,47,0,0,52,0,1
19,0,1,0,24,0,1,247,0,1
20,1,2,1,32,0,0,13,1,0
21,0,1,0,54,0,1,77,0,1
22,1,1,1,19,0,2,26,1,0
23,0,1,0,37,1,0,53,0,1
24,0,1,0,24,0,0,79,0,1
25,0,2,0,36,0,2,26,0,1
26,1,1,1,22,1,0,66,1,0
27,0,1,0,61,0,0,33,0,1
28,0,1,0,56,0,0,30,0,1
29,0,1,1,50,0,0,28,1,1
30,1,2,0,1,2,1,39,2,0
31,1,2,0,3,1,1,26,2,0
32,1,1,1,44,0,0,27,1,0
33,1,1,1,58,0,0,146,1,0
34,0,3,1,2,0,1,10,2,1
35,1,1,0,40,0,0,31,0,0
36,1,1,1,31,1,0,113,1,0
37,1,1,1,32,0,0,76,1,0
38,1,1,0,38,1,0,90,0,0
39,1,1,1,35,1,0,83,1,0
40,0,1,0,44,2,0,90,0,1
41,1,1,0,37,1,1,52,0,0
42,0,3,1,29,1,1,10,1,1
43,0,1,0,62,0,0,26,0,1
44,1,1,1,30,0,0,86,1,0
45,0,1,0,52,1,1,79,0,1
46,0,1,0,40,0,0,0,0,1
47,1,1,1,58,0,1,153,1,0
48,1,1,1,35,0,0,135,1,0
49,0,1,0,37,0,1,29,0,1
50,1,1,1,63,1,0,77,1,0
51,1,1,1,19,1,0,91,1,0
52,0,2,0,36,0,0,12,0,1
53,0,1,1,2,1,2,151,2,1
54,1,1,1,50,0,1,247,1,0
55,1,1,0,0,1,2,151,2,0
56,1,1,1,17,1,0,108,1,0
57,1,1,1,30,0,0,56,1,0
58,1,1,1,24,0,0,83,1,0
59,1,1,1,18,2,2,262,1,0
60,1,1,1,31,0,2,164,1,0
61,1,1,1,40,1,1,134,1,0
62,1,1,1,36,0,0,135,1,0
63,1,2,1,36,0,0,13,1,0
64,1,1,1,16,0,1,57,1,0
65,0,1,0,45,0,0,28,0,1
66,0,1,0,38,0,1,153,0,1
67,0,1,0,29,1,0,66,0,1
68,1,1,1,41,0,0,134,1,0
69,1,2,0,2,1,1,26,2,0
70,1,1,1,24,3,2,263,1,0
71,1,2,1,24,0,0,13,1,0
72,1,1,1,22,0,1,55,1,0
73,1,1,1,60,1,0,75,1,0
74,1,1,1,24,0,0,69,1,0
75,1,1,0,25,1,0,55,0,0
76,0,1,0,27,0,2,211,0,1
77,1,1,0,36,1,2,120,0,0
78,1,1,1,23,1,0,113,1,0
79,1,3,1,24,0,2,16,1,0
80,1,1,1,33,1,0,90,1,0
81,1,3,0,32,0,0,8,0,0
82,1,1,0,28,0,0,26,0,0
83,0,1,0,50,1,0,55,0,1
84,1,1,1,14,1,2,120,2,0
85,0,1,0,64,1,4,263,0,1
86,1,1,0,4,0,2,81,2,0
87,1,1,0,52,0,0,30,0,0
88,0,1,0,30,0,0,27,0,1
89,1,1,0,49,1,0,89,0,0
90,0,1,0,65,0,0,26,0,1
91,1,1,0,48,0,0,26,0,0
92,0,1,0,47,0,0,38,0,1
93,1,2,1,23,0,0,13,1,0
94,1,1,0,25,1,0,91,0,0
95,1,1,1,35,1,0,90,1,0
96,0,1,0,58,0,0,29,0,1
97,0,1,0,55,0,0,30,0,1
98,1,1,1,54,1,0,78,1,0
99,0,1,1,25,1,2,151,1,1
100,1,1,1,16,0,0,86,1,0
101,0,1,0,18,1,0,108,0,1
102,1,1,0,36,0,0,26,0,0
103,0,1,0,47,0,0,34,0,1
104,1,2,1,34,0,0,10,1,0
105,1,1,1,30,0,0,93,1,0
106,1,1,1,44,0,1,57,1,0
107,0,1,0,45,0,0,26,0,1
108,1,1,1,22,0,2,49,1,0
109,1,1,1,36,0,2,71,1,0
110,0,1,0,50,1,0,106,0,1
111,1,1,0,17,0,2,110,0,0
112,1,1,1,48,1,0,39,1,0
113,1,1,1,39,1,1,79,1,0
114,1,1,1,53,2,0,51,1,0
115,1,1,0,36,0,0,26,0,0
116,1,1,1,39,1,0,55,1,0
117,1,1,1,39,1,1,110,1,0
118,0,1,0,36,0,0,40,0,1
119,1,1,1,18,0,2,79,1,0
120,1,1,0,60,1,1,79,0,0
121,1,1,1,52,1,0,78,1,0
122,1,1,0,49,1,0,56,0,0
123,1,1,1,40,0,0,153,1,0
124,1,2,1,4,2,1,39,2,0
125,1,1,0,42,1,0,52,0,0
126,0,1,0,61,0,0,32,0,1
127,1,1,1,21,0,0,77,1,0
128,1,1,0,80,0,0,30,0,0
129,1,1,0,32,0,0,30,0,0
130,1,1,1,24,0,0,69,1,0
131,1,1,0,48,1,0,76,0,0
132,1,1,0,56,0,0,35,0,0
133,0,1,0,58,0,2,113,0,1
134,0,1,0,47,0,0,25,0,1
135,0,1,0,31,1,0,52,0,1
136,1,1,0,36,0,1,512,0,0
137,1,1,0,27,0,0,76,0,0
138,1,1,1,15,0,1,211,2,0
139,1,1,0,31,1,0,57,0,0
140,0,1,0,49,1,1,110,0,1
141,0,3,0,42,0,0,7,0,1
142,1,1,1,18,1,0,227,1,0
143,1,1,0,35,0,0,26,0,0
144,1,1,0,42,0,0,26,0,0
145,1,1,1,24,0,0,49,1,0
146,1,1,0,48,1,0,52,0,0
147,0,3,0,19,0,0,7,0,1
148,1,1,1,38,0,0,227,1,0
149,1,2,1,27,0,0,10,1,0
150,1,1,0,27,1,0,53,0,0
151,1,1,1,29,0,0,211,1,0
152,1,1,0,35,0,0,512,0,0
153,0,1,0,36,1,0,78,0,1
154,1,1,1,21,2,2,262,1,0
155,0,1,0,70,1,1,71,0,1
156,0,1,0,19,1,0,53,0,1
157,1,3,0,6,0,1,12,2,0
158,1,1,1,33,0,0,86,1,0
159,1,1,1,36,1,2,120,1,0
160,1,1,1,51,1,0,77,1,0
161,0,2,1,57,0,0,10,1,1
162,1,1,1,43,0,1,211,1,0
163,1,1,1,17,1,0,57,1,0
164,0,1,0,29,0,0,30,0,1
165,0,1,0,46,0,0,79,0,1
166,1,1,1,49,0,0,25,1,0
167,1,1,0,11,1,2,120,2,0
168,0,1,0,39,0,0,0,0,1
169,1,1,1,33,1,0,53,1,0
170,1,1,1,52,1,1,93,1,0
171,1,3,1,27,0,1,12,1,0
172,1,1,1,39,1,1,83,1,0
173,1,1,1,16,0,1,39,1,0
174,1,1,0,51,0,0,26,0,0
175,1,1,1,48,0,0,25,1,0
176,0,1,0,31,0,0,50,0,1
177,1,1,1,47,1,1,52,1,0
178,0,1,0,33,0,0,5,0,1
179,1,1,1,56,0,1,83,1,0
180,1,1,1,19,0,0,30,1,0
181,1,1,0,26,0,0,30,0,0
